Actinomycetaceae	Aerococcus	Aeromonas	Akkermansia	Alcaligenes faecalis et rel.	Allistipes et rel.	Anaerobiospirillum	Anaerofustis	Anaerostipes caccae et rel.	Anaerotruncus colihominis et rel.	Anaerovorax odorimutans et rel.	Aneurinibacillus	Aquabacterium	Asteroleplasma et rel.	Atopobium	Bacillus	Bacteroides fragilis et rel.	Bacteroides intestinalis et rel.	Bacteroides ovatus et rel.	Bacteroides plebeius et rel.	Bacteroides splachnicus et rel.	Bacteroides stercoris et rel.	Bacteroides uniformis et rel.	Bacteroides vulgatus et rel.	Bifidobacterium	Bilophila et rel.	Brachyspira	Bryantella formatexigens et rel.	Bulleidia moorei et rel.	Burkholderia	Butyrivibrio crossotus et rel.	Campylobacter	Catenibacterium mitsuokai et rel.	Clostridium (sensu stricto)	Clostridium cellulosi et rel.	Clostridium colinum et rel.	Clostridium difficile et rel.	Clostridium felsineum et rel.	Clostridium leptum et rel.	Clostridium nexile et rel.	Clostridium orbiscindens et rel.	Clostridium ramosum et rel.	Clostridium sphenoides et rel.	Clostridium stercorarium et rel.	Clostridium symbiosum et rel.	Clostridium thermocellum et rel.	Collinsella	Coprobacillus catenaformis et rel.	Coprococcus eutactus et rel.	Corynebacterium	Desulfovibrio et rel.	Dialister	Dorea formicigenerans et rel.	Eggerthella lenta et rel.	Enterobacter aerogenes et rel.	Enterococcus	Escherichia coli et rel.	Eubacterium biforme et rel.	Eubacterium cylindroides et rel.	Eubacterium hallii et rel.	Eubacterium limosum et rel.	Eubacterium rectale et rel.	Eubacterium siraeum et rel.	Eubacterium ventriosum et rel.	Faecalibacterium prausnitzii et rel.	Fusobacteria	Gemella	Granulicatella	Haemophilus	Helicobacter	Klebisiella pneumoniae et rel.	Lachnobacillus bovis et rel.	Lachnospira pectinoschiza et rel.	Lactobacillus catenaformis et rel.	Lactobacillus gasseri et rel.	Lactobacillus plantarum et rel.	Lactobacillus salivarius et rel.	Lactococcus	Leminorella	Megamonas hypermegale et rel.	Megasphaera elsdenii et rel.	Methylobacterium	Micrococcaceae	Mitsuokella multiacida et rel.	Moraxellaceae	Novosphingobium	Oceanospirillum	Oscillospira guillermondii et rel.	Outgrouping clostridium cluster XIVa	Oxalobacter formigenes et rel.	Papillibacter cinnamivorans et rel.	Parabacteroides distasonis et rel.	Peptococcus niger et rel.	Peptostreptococcus anaerobius et rel.	Peptostreptococcus micros et rel.	Phascolarctobacterium faecium et rel.	Prevotella melaninogenica et rel.	Prevotella oralis et rel.	Prevotella ruminicola et rel.	Prevotella tannerae et rel.	Propionibacterium	Proteus et rel.	Pseudomonas	Roseburia intestinalis et rel.	Ruminococcus bromii et rel.	Ruminococcus callidus et rel.	Ruminococcus gnavus et rel.	Ruminococcus lactaris et rel.	Ruminococcus obeum et rel.	Serratia	Sporobacter termitidis et rel.	Staphylococcus	Streptococcus bovis et rel.	Streptococcus intermedius et rel.	Streptococcus mitis et rel.	Subdoligranulum variable at rel.	Sutterella wadsworthia et rel.	Tannerella et rel.	Uncultured Bacteroidetes	Uncultured Chroococcales	Uncultured Clostridiales I	Uncultured Clostridiales II	Uncultured Mollicutes	Uncultured Selenomonadaceae	Veillonella	Weissella et rel.	Vibrio	Wissella et rel.	Xanthomonadaceae	Yersinia et rel.
sample-1	60.909590878572	69.4516053821391	62.8233694063341	287.383765662356	61.6496704765211	231.997041672697	54.969131604004	82.6742573126251	422.784740604216	72.8401561073892	126.825714107609	70.7108572101241	108.406690118482	57.7479000069951	68.6902307624283	69.7313296860786	718.104032714044	1010.74629907996	556.989952431918	247.538106727599	249.125701407963	178.6073527006	2522.38519801653	4745.52223686852	337.394622204231	66.7934438660345	54.2398818914617	410.175367023488	71.0849966175514	125.351928132858	298.068958985085	57.2376919363159	81.6532712322367	58.7776703804029	203.316008672922	196.110288523145	88.0751913868262	59.5760403229314	294.102849519629	563.8354852528	318.216216866868	138.206232753357	675.872493744545	103.676201213734	386.186831052975	54.7374957246721	152.587222749903	161.845438465217	561.229009894043	58.8043407091159	60.9618041978238	80.1723459937155	479.368988625815	75.4603346957132	72.3907155882109	67.538267613854	60.1022789487101	124.409534464647	57.966881076802	1388.26620538933	65.9744794334185	578.309935146325	94.6407562055356	578.08112762745	3382.55241460353	59.639231932035	69.0903379919482	87.2491505800483	62.1141919578509	57.0623603066298	70.3893023488543	753.413094742979	325.383994112156	54.0053388388333	71.5781220498979	62.6852265947335	63.8854455964853	67.2467291666525	61.3543317683668	55.4987937123691	57.0505282112457	55.3510149866132	56.6559298348266	52.98220972551	54.3845925877119	64.7560315725574	57.0471158338603	327.427746053432	220.860472799623	233.622041222979	765.069251437692	434.470470315247	78.4474418358018	60.0668477510003	55.1557303681163	56.1685442873472	77.1709910766352	113.994883352243	134.938296865435	412.492453969081	69.0976877171007	58.1847881680156	64.1047405628031	571.495767456081	260.543261837641	113.028513041608	360.129163458957	1174.66705036654	948.641751052871	64.7865231273962	187.352361591223	58.754889821133	812.700778913289	216.84220526674	617.37634278277	375.139436567953	151.798862208122	205.472477199526	128.124308881995	55.0954682551958	111.761723499934	70.4378183794343	62.0998251817833	59.4601093929826	98.8457716862446	64.4698729743738	67.06242254276	76.5202007576119	127.631336890142	58.5364045902148
sample-2	65.3375753823062	69.015893897361	78.8103336744689	248.970512066938	58.0694219734508	170.227603085541	65.845907290614	92.8472296180232	682.049090779357	116.953647200462	131.949221665562	69.6804112897698	140.206566438611	62.7423991577501	69.5018760246498	77.3010991855186	193.962449543499	578.114474786032	203.976810532673	154.526094066991	163.336329525447	95.7092352635231	634.240952516549	1485.9560865263	439.991822284832	81.8942831612035	58.2978415745279	633.067107390149	79.7230989597582	121.522108360783	253.691341319711	56.3844791420866	73.5876479139611	65.1104890115359	210.88324390298	230.083921825764	116.393986579033	65.2210070811855	311.177312870958	610.707701773615	265.750548642058	135.136710449565	750.125746825739	138.536160916691	520.772482299507	65.5176446261575	219.686070562819	180.803034144096	813.459063753828	63.9453138138372	75.2026826677961	110.816376590984	656.941569290516	84.9281417778028	74.5818990704052	73.7819356791351	60.8516524472725	135.195716102573	61.7737159914697	1384.58405706068	65.7418954372223	563.30274117603	91.1979626659912	585.327958342605	3585.32658891778	66.6966653658139	61.1914761011593	65.6831012650158	57.0980312421982	61.0730321099151	70.8228762715647	827.289264584059	306.706657327346	52.2104738920918	183.148173933539	69.5554374559641	61.5181149665827	71.4719390823542	63.6198180215964	59.5290250324128	57.9754363897636	55.7107609843986	65.6628819485541	57.1917649538983	56.1868979595915	101.811209631542	60.6613800247911	167.381387380212	235.921456897286	271.212372289162	768.170619988153	271.090439852101	80.9129619823991	66.1963750634635	58.9934096468548	59.9347208054025	62.5848128276218	77.1947269703522	93.7251541596818	218.288974005907	73.3588998006327	66.2648524262296	63.6057389656788	569.308178502281	780.595298379574	250.006260117345	516.19802735233	949.750855364899	1606.72217386231	57.9767593123776	182.454287492399	79.5462748608669	631.678967829759	190.547085035132	435.095567034767	487.143205223032	115.150841036297	132.2400596973	100.105218119545	97.8711648011812	90.8450294433934	78.4086467683626	64.6778193770699	55.2668259963233	75.5426506004268	68.5758184901222	70.3075296499123	91.9896419500528	101.775085218775	70.4815742671024
sample-3	72.3048724502114	64.8061414422479	74.401731059445	287.526726080346	75.1918677483742	257.518703236203	57.8766483116763	83.26439188548	448.337427757889	127.070828055064	136.691340277172	70.8603467969064	151.691337300475	63.3734043858441	128.674735901543	69.6932912089036	242.623567935499	343.02475090902	189.513391599866	206.84990562254	132.44132001078	110.435733410438	611.813536979875	1957.63814978269	2292.53170802591	83.5035013549578	61.2476239453503	418.179468427763	66.6200690936374	105.736264052208	213.671406698937	60.4159275369213	73.6927830832335	104.722732956942	244.874357488807	83.208779226069	90.0537385578264	92.9809042506105	381.541822149919	807.910579673534	183.974090636057	98.3037226359179	484.434003527679	132.534033562358	468.07725846822	71.4462170864848	279.73635842371	109.24747529279	1076.20267848505	70.1476695659194	89.6074719994379	161.685649448488	439.895755794055	86.7603934129266	86.3871112973496	77.4508051695758	64.2399594615365	116.17253891571	61.5795819599131	1346.94289656066	65.3568883152974	438.154158199648	95.8537354945588	192.642631430123	3178.43546759463	67.8319926215303	60.3486958215653	71.2391169152341	62.8343651969677	60.4662562031468	79.2448751398289	375.95425968851	351.047461564797	70.6934900793773	66.1205206206225	70.3058320889584	63.6712601919921	78.9697407771444	65.7779834514716	64.2669032297221	60.8330003688462	70.9029410111134	76.2711973546729	61.4920171436976	64.8718404804649	99.5458236783931	68.8995508573041	209.652102146379	245.232081203362	330.951521408488	641.885543225572	211.092428437231	79.4954443065357	68.1782151237285	56.4808537501103	58.8867173758123	65.001290516257	85.1211078548529	112.782284610876	159.004001606804	82.7205272227071	65.065975056612	65.4300237404323	1301.44989296946	985.115370272357	341.541485414899	376.569511001498	539.936943164456	1404.73203865357	61.7899303228523	199.083520220137	81.3600722852176	250.37400723863	156.891879459713	288.949172060434	1207.1164978747	165.95519339585	114.537415229068	117.830980344633	70.6185722788711	111.653615461153	90.4082277029714	68.5145371211922	78.481130667202	124.280051154438	70.2931294703981	70.9138981506205	70.39578225123	92.118045681542	73.3840069397799
sample-4	67.2013515219603	56.6382762850724	80.8642190807265	242.579680200628	57.3829616897126	279.316100695949	71.4306469330473	86.6026337524598	375.547817424866	151.32295979893	170.168260167971	70.5542112769007	142.284139898111	56.7973909553067	114.454060214705	75.1690225508906	196.172911324543	437.923759362198	158.445425826505	207.050313086075	129.475702811067	101.390240823004	864.279552949268	1625.0801655918	1199.49229552512	77.962537116517	60.295496924731	454.513582041151	71.1828083598829	102.470773820228	274.841685161973	61.2766561568431	72.95478662341	72.1654060412506	240.355863117684	83.7123064647951	93.6570947172219	71.5178780137477	319.454673199468	1021.11735892885	199.056771780141	105.769451698258	399.200530584142	169.182025933987	530.009875319975	65.1808451403545	248.223554787508	114.746237597393	1186.30562246454	61.9549941617243	79.3837230074384	193.679827641927	535.582249017551	82.75729959133	75.8643529180203	70.8655363681005	62.9702500894608	126.943276869819	64.3652528056473	950.055134684446	65.735814313686	485.708972259547	113.570273243554	208.451354710237	2304.5776584697	64.9117597577766	58.7780397879673	61.8721353745573	62.5162759090017	64.9630277082934	75.0240770834191	412.20411167569	493.087604221707	53.5132511014902	65.3799132061437	70.7937207155766	58.4515416012217	59.5584614461679	62.8801202314007	60.9721251229854	65.0515695833367	60.1039199396831	64.0358748784582	61.1107589919825	58.160879336772	70.0961304990024	61.0742498493625	204.777057019674	253.378985831469	289.929894075201	870.427674078643	244.281772331129	80.7306484281826	69.8317554997522	60.1112398055404	58.860397720652	66.3968618826085	85.0375325480376	107.973791066784	149.577209717638	74.9821665028803	63.9532499269246	70.1059596707149	1613.5712336798	2045.57238770029	374.414166605075	413.083021187334	733.426500401954	1694.32065715962	63.6595797239812	189.920310630052	80.3891432349782	365.749175711456	236.29743855303	524.003909365546	802.779763209266	122.426948305304	113.662092324785	95.1429003509323	57.4973943606655	107.078089818424	92.5929169085569	67.8187015732998	59.4201622158102	185.267007500318	67.5122358403721	70.1281373319845	65.3935940730094	84.0526165343944	70.2116099056979
sample-5	58.704302054941	76.3897850898169	63.5304525279686	303.668433219388	56.5367324883916	340.126888749504	55.9816261015602	83.2300063590028	591.758931085449	105.159285604673	145.458873943134	66.710279961141	80.3757531708356	54.6933210615051	63.6536104406762	77.3218207528179	277.680916234422	355.620794224631	218.617796922278	209.937347265621	156.876687602512	203.235874067702	364.558295515035	1913.12134610716	358.848664056431	58.8058589547799	52.3217328787254	361.961673426969	60.0619428318447	83.8970573256268	246.167822952523	54.8047298931001	80.5279550516945	61.0402878329851	162.497021159841	127.349499948691	108.944291357256	60.0777020548019	222.824858067206	760.528359254998	220.18448745071	123.195303191501	470.962795160782	134.089441741511	500.149031792293	54.1444547267906	78.0887604003588	166.048239417681	1172.18636991453	57.0580340579248	58.1587106632788	61.6299686007041	509.669411534025	97.4646495800959	70.8166094716314	107.851616221221	60.9215106993044	90.0565679467671	64.1740979555852	1763.82806877092	67.9796210981958	507.27940470116	115.683900354488	442.729448734762	3374.15882994663	56.0022533204538	56.0440624615138	122.792172590379	70.9589473452015	57.122136562496	67.1058579537624	738.164317551859	291.677516779956	49.8868638775086	65.309757360318	64.4052902847709	74.7804381117748	65.4435973413036	61.2706370117707	52.7678321922867	55.5641252460691	52.682299429572	61.487400594876	52.291161484696	53.3652750164106	62.3933406768264	62.5517709225905	242.829082214694	312.858104496402	143.536358924376	483.103496204931	254.427428682344	75.8254339116558	56.7141605177231	54.5468990592242	53.4929185672133	75.094611349746	90.9112008404527	109.206894014341	276.054078445952	64.8724617095589	57.8531471234651	73.6235473431788	994.186124875559	417.588256377191	161.696606222915	277.851001280737	960.02061272206	1856.33520063871	78.2035838868848	160.537695315277	62.3899232517794	484.087755207244	173.236152733698	448.132730148053	1167.17047451141	116.466434590976	186.544677583117	115.93122944554	93.4879775244975	198.211215827076	96.8730972154839	139.603256856002	57.4988525280152	106.305100175398	71.5346905812668	71.5451794862027	75.8373512218014	71.3877164660217	56.0160339090222
sample-6	66.5011206218494	58.1266953103817	63.3513743105477	479.547468976822	54.9486324267963	374.814925987014	55.3848038594997	87.4442631844164	567.755487755887	112.431428436151	228.678440724808	66.6385272741133	94.754317363515	56.7095839245048	65.9354179295729	71.9010388440783	175.596386592499	185.788442052284	110.166853618128	169.674952582862	132.432185423144	111.439454497321	254.60779387784	800.064260380417	660.133370990134	63.056389878171	58.361370136388	471.558904271957	61.8152188201945	87.8303527063919	190.702233233658	58.3989003547806	83.1141829092542	65.333439958254	176.526552129876	143.640180597803	100.509267349458	61.2302389955067	252.806184866577	909.603076583958	244.301567834739	111.3690198498	559.177374245839	123.886210107937	418.987883276001	59.5604887954531	86.7062106229301	152.785569482551	1385.99045185297	69.7960381209154	73.2966613246813	68.9984160552342	561.272138231082	113.339802495067	71.41894710426	68.7209093079103	66.6278316764532	90.4688530938091	67.1297379521633	1968.86000550983	63.5105563801406	384.407445502431	115.142861415278	359.684963534138	1620.42250965499	55.9211437749528	57.5604550225107	60.9568429318156	80.4254153791002	59.866069277201	76.5688418230895	388.6634943958	348.239904476726	57.5980773127082	67.935411606966	85.8581378847553	62.0427135018309	90.4326424079414	60.0578774722712	55.7542514747465	56.931680601799	63.7420089357316	62.6090474928223	55.445308755866	58.9538549960762	76.502742371808	68.3537532719262	238.835341356992	322.90185488236	151.376831522323	532.307028285767	155.778914588998	74.9076146959819	57.7517772171694	56.4394160242353	54.9747355780873	64.6863430201827	70.319530385841	83.8127440620031	167.814495494879	68.7112525977324	58.8117835049876	92.2748002020089	587.120082303768	511.192168884194	177.704656797996	316.796262278782	1298.35683262112	2497.10952414364	91.1916118088106	145.34320184451	71.2993581861134	479.328806395899	191.346281283435	480.925566899482	1040.48113765844	109.909690799547	146.214333608121	140.636061154184	154.617342143006	265.943670317076	85.6000670129307	150.838604676768	52.5237288362586	119.195984591787	79.41020601763	78.1318518574223	64.6435998524021	68.4414930481725	64.2982066056022
sample-7	72.6143945067421	76.4653961625708	69.9470754240554	420.492845508116	60.4985674771467	161.65765553879	65.3206168071641	92.9521063165471	552.816699775328	216.924154723243	164.230025154991	77.6442642734407	133.312686589785	55.4149843316228	74.5184708298813	73.4606904016444	92.5084997666175	524.680052577739	87.1756709644655	151.662667231742	93.0555554205134	74.6334453683145	156.302333499534	625.77956770213	298.478005008576	66.8831838249642	54.763724156399	501.671976012763	65.0339075164235	142.432474598802	270.090107088499	55.748794413802	67.5126750712915	67.7284797629044	337.088316027557	145.413544604517	125.149105712494	65.9062582766984	622.430320428211	830.637964185048	281.612352406738	72.5582964516947	848.369778012889	102.592731571372	566.527475290321	56.1613406107974	132.169365978212	62.8511804565677	857.700048024877	55.8943750685755	62.011821689995	66.4113468519148	691.576666014457	97.8705702969346	67.3625546266315	68.5609026857515	63.7530367610737	145.70546150527	55.4396182214508	1349.83454135765	72.8087142513961	676.388145764001	102.256892718923	708.327769674491	2259.29532362586	57.1070250645952	70.4123577462425	97.6368527316404	66.3307290056688	57.1927738041923	68.2520731331103	525.414364797471	650.236832338224	80.3289527733629	73.7404028123422	64.6967547572795	67.2989700330075	66.5034570577049	68.4618065050397	57.3155683377398	63.466368677071	60.3242444904539	56.1846811634184	58.105118321417	55.9859970823963	72.5489359463512	59.5948505213608	693.572018730696	359.555660337849	442.902363512642	879.107444771635	100.469069648189	104.937041255083	69.0669256858895	58.0078972981442	79.3678642703672	76.3461610753626	86.0611454944354	83.1110498539383	194.476330589876	68.2346581655447	59.0811110560296	72.7075797970329	665.713785994235	1956.96036884052	388.584922438424	357.118196236006	1127.42701015922	1708.00445229588	73.5479284449954	348.725193863437	70.246837725466	440.620911339087	211.529315593932	456.419276469906	664.146685345829	84.0202979918515	94.8248842570832	209.163901777259	60.9676215929543	61.4496240526362	78.6290404486561	62.4718661030905	53.5068558285406	75.3599113487376	70.2310437078922	66.9863903038558	78.9412629287432	79.9197633854455	58.2439510834632
sample-8	86.7100878784646	83.9673378982857	63.2039108752734	338.969835203666	62.540353697906	185.657625756635	61.4657810592465	95.1858098088166	462.853667511417	215.269556266319	176.561323816033	79.9188237670852	117.549725863465	67.7797791844055	70.9907128213294	82.8320855977751	127.539541789612	1326.03195018031	109.148429937633	166.908854198519	126.757447549943	96.0218426730386	198.268715979786	3168.12071059853	647.232261106548	79.3031546647668	60.0647384927327	455.658781848517	66.0878169425025	121.068895026197	240.62072145168	58.0002648501194	67.9098682713028	64.037736737413	313.309508999056	117.480428449563	140.268395098051	65.863189081371	604.565391432449	858.998518283972	260.707519410713	71.8055680875951	676.699237704758	108.585876082801	490.044501589402	66.9222421145074	201.573429965308	70.7091943988489	728.734612652188	68.0351961603951	99.0699240205424	58.830757907454	612.162585142833	109.295171077131	77.067946731556	82.7681002097889	68.8599644464633	134.455579278118	58.4312898412571	1208.73605425546	74.2460150399743	515.262616038707	108.963542706665	575.797143631216	1332.67070748811	64.5813066948663	60.6341229390999	94.5278073112054	60.8285754303445	59.5158223183063	71.937789345449	359.574222816887	545.10507663064	51.6786167044121	72.096318269408	65.258371600033	66.055147096081	74.6173871158876	64.9088131327501	60.1860487819864	62.2068421878735	58.0083230660876	83.2883415046967	57.5258189892987	63.2744527119476	113.915609078482	69.8377160290328	810.358258068587	321.642602738737	394.147135783651	541.001071970457	150.653795922765	111.146984660642	86.6957093540593	60.9575388692901	77.9564937486585	84.2236668466381	116.238936414523	115.41497452082	358.603317161693	89.9488658241337	62.5338330690531	63.7097230223319	631.592843063397	1900.88014679879	337.705983652155	385.994007247625	1108.82905015478	1560.28108250635	63.2238021866781	326.382067646875	99.3749141845254	424.924522214001	219.622817839072	475.702029086878	766.059232699881	81.5012759993632	122.869532846001	156.022700048776	58.5167248984595	65.9491946137244	85.2113661508105	67.6559704139829	55.2429354308131	87.2047204804898	71.3840992325142	74.8424371248638	72.4341466266969	73.1447473494652	66.8508021722362
sample-9	71.6269677467615	72.0858724717918	72.8954515435373	867.082606069281	58.8450752423908	107.012230909718	58.3624018044619	109.291901777441	865.23120410009	98.3775668320403	237.528956417451	98.0219457377876	151.454207797288	62.5564238367775	61.7571417827604	97.8269897364667	402.355141512946	236.722504357299	271.116476531947	184.768546438993	120.841952744754	168.165175497712	767.889320632352	323.202100560207	1534.70344739924	69.324150979319	54.4289682466196	334.589615936054	78.3242111438468	97.5075686790176	176.178919811108	60.1285406874814	84.7221300220482	67.4437587888142	248.414321873679	91.9259450144495	145.037806537381	69.7010766173194	222.101379601295	1158.56032021878	253.95016570653	176.149841978424	747.774580374429	132.794884771587	595.290477452452	60.4040773233158	111.103230940775	195.482791905238	1197.98356169678	66.1095380422929	69.4091491459021	122.678720175153	905.05110798731	127.093033047098	79.127669026087	103.433135894851	76.6067485431138	81.6954531943226	134.10406714175	2447.58960019462	82.2187329255617	459.788785472198	105.453462162278	1046.52521661356	439.748619234783	65.2304246436303	58.7096914996528	84.4606970518674	58.0999249385729	63.4136386046911	75.8764883534183	310.505894666695	224.081035636227	51.2714640070589	77.1929131475198	74.2855626358241	78.8361089072725	315.428935861801	64.7969424814636	59.3488560256637	158.908318687178	57.3012243053509	63.9004676659373	59.2878537059257	57.3947854634256	79.8410578797339	62.4821547078687	249.080887234057	383.958326774161	227.8620771077	533.357123716664	152.404191257954	88.1747081319663	66.0386088498268	55.7638866118969	117.618914130469	81.2786513162646	114.956205651772	122.01416033392	190.472114272704	90.1070618000408	63.5614861320259	61.1619126298829	931.537955130279	281.713107718889	113.237444978992	302.648074970212	890.468811353375	2579.54006732561	58.1645396313092	124.15854568804	72.1975379040429	689.737517818871	255.806488392674	807.339015200225	2068.58200126665	90.6654534229393	103.619272944484	95.4536708433882	55.5932328266163	60.7083965724786	81.8559202369141	63.3834544309404	219.004626235848	60.6278363583472	113.657380589607	73.9961320613796	102.076418418994	82.066729328309	63.8021294036272
sample-10	82.4501673515419	58.8660357997846	73.7653466964461	396.994985719244	60.5251930005541	148.622617859065	64.2609369216067	102.428873942784	967.256561354989	92.5265736276661	131.99666337129	88.2217935974878	358.503882982676	72.5800744643296	61.7046142680734	85.9275508749608	773.514285634528	247.743132718188	308.854083259467	197.061475583159	161.068879881138	163.891002600803	1022.55799095941	312.940972552621	1303.20002783601	68.9403504928518	65.001178714048	416.045712732989	78.5054218729167	150.698069174365	195.991965466211	62.7210260643128	73.7572428746148	68.606598962814	148.514217656084	90.5191723496802	80.7170992730048	67.1200495256945	143.187598843116	1208.52439319075	230.828604795931	142.676724997732	718.027295588195	124.43991533558	756.912726964067	73.4252391099436	113.345506251431	243.853601271627	975.949811967666	80.3035993649477	101.687895177024	196.818333287119	648.094993373031	131.010832783701	83.4801847258391	83.4137090452229	66.148385979571	89.0749568426157	111.711366879531	1266.81884900741	65.7862835772908	489.525788086026	93.6436732521617	1177.59645165153	804.88081487003	69.1541278119721	61.0608442402503	60.845913608429	59.0568915593723	66.8752111640125	74.6384586638743	296.254605459213	224.41678402475	54.833787478259	65.1328941566161	77.0836645946145	63.7210886548247	67.7899137022116	98.3614440645918	63.3776467008577	166.947269998785	57.7088760104351	80.6599563982797	57.5057508211426	60.022633158956	123.580538934729	71.8835426928623	277.698774315003	394.056644526589	267.044356961096	669.239628366847	190.355069608465	72.1774128027002	67.2267529514607	63.3383266494966	99.5821987701549	72.6731962178065	100.111630346543	146.125771689611	192.950144336114	106.626290533645	66.7200805001874	61.8555368984974	1764.26685347641	195.195240102803	103.785431701893	258.428379819698	1102.2540387035	1795.40621578142	59.1057878975521	114.373266046557	104.284179456371	549.371780005084	202.425896261611	516.517048761749	821.381099306556	126.735905523888	119.826284761612	109.578519639659	60.1204192013214	70.473147383753	78.560216016302	63.8505841081652	100.415302903119	93.3628383152242	84.7099250300792	72.177202130439	66.2615335113491	85.2200207001163	71.3189121189491
