	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Actinomycetaceae	84.7616333680214	78.2950419756594	134.131886499047	109.30349176208	102.275566263957	91.9066748603842	123.300674459404	76.801881939789	92.1488109510055	100.807705748789	105.489390242424	75.4418488421683	80.5411817085636	79.2975042563927	385.233776616424	93.7061126692851	145.879804147052	84.2884134304191	74.865617650394	99.4998720621162
Aerococcus	39.4633492712839	37.1572501951429	57.0469387412515	49.9222105963941	50.1209702699817	45.2056112679012	39.1898186512817	40.0081640604651	48.1563279909468	48.8891088983239	47.4359816451178	40.0176860581125	38.4706855384199	51.6610149250392	57.8241693440159	59.0137189170566	74.2268129241909	40.4672716714014	38.6612565389391	49.772656574997
Aeromonas	50.0558714216992	39.1644440627704	65.7441480499651	61.3552959037107	54.8398490527082	44.4283863844197	46.4621365886079	37.1385063671739	48.4174167855743	49.8492836500976	49.7785387923844	38.5017168071639	54.6365043002878	36.8177388539924	59.3044805312707	57.1980450477795	76.7956899426655	41.0102427930309	39.1346153558348	57.5946428623332
Akkermansia	3241.64898631831	16118.2526414875	3545.40457768986	2695.79855936736	1373.24404962199	3092.1400544594	6116.98476917904	5479.9534083552	2785.46574495141	2980.1059538586	1997.8419015029	2480.54240832953	723.33084952389	894.082744254444	681.389903560554	559.762031462377	1457.17800149248	850.124113865642	2778.85817367123	2479.55738028435
Alcaligenes faecalis et rel.	193.647449999234	274.462695612778	242.945632534737	185.101215955868	188.416856107688	184.45776692992	147.324113879475	144.448462446518	257.876444817427	179.009810253122	496.613896648872	153.351420952642	149.67783959431	149.413746717237	177.97377530924	165.685561205682	294.356032928874	162.996788578511	152.825385867756	181.061097594985
Allistipes et rel.	5275.9859324754	2885.60707796119	26293.8160276259	2176.93497160948	3004.86106710498	679.422211201369	1355.59886472188	609.178881010606	14413.7096639264	14237.5322911252	7305.26704048359	4402.8838564594	579.256395134415	665.343316346041	740.469577756778	973.90063897689	4646.47322770977	906.959587559187	4966.18710320846	5052.53185862833
Anaerobiospirillum	38.3885970407628	37.2889952606419	57.4798873792156	45.7103781515752	45.1877982969895	46.5831592238709	36.1036301147143	36.3931241473518	50.332748152616	43.0080888649793	46.7469763539822	36.5567744799174	37.4058600501245	75.9872633549923	43.9643348268734	64.5252917423638	71.1653138904042	39.2853177230842	39.0573732020216	40.9593091419714
Anaerofustis	69.1527987627216	57.1350790100462	95.3543839347161	119.77806902139	86.2270718197441	68.9393102559261	83.2723469764654	62.8940079610496	68.7404444467903	91.611594453991	73.0234928146489	56.8621590093478	58.3014083793794	45.4156247801879	80.7942392678494	56.7049897127901	102.282604459032	46.7336339323404	42.6791229797847	99.7640558082781
Anaerostipes caccae et rel.	3827.8422501784	3364.11266426381	27643.7139954032	26789.6951967029	2653.26564210489	39807.2826564796	17440.0089584893	31567.5767557725	2812.72518845894	15255.6189672004	5319.30626016889	4240.17911195133	36634.9576955279	397.567322860344	9387.15351963967	575.802861489512	7451.66303602024	5074.28762066873	4811.48324491989	14727.0119297947
Anaerotruncus colihominis et rel.	1434.01650856566	3683.52201209248	4237.71355430661	882.676945232693	918.03290866316	643.036218922625	1896.3290888563	582.452916973757	911.965667910341	960.983245109813	3576.35934269303	1053.3905773396	504.720589330064	476.970875316749	655.185650812917	662.176352394471	2128.04489506158	641.043590447396	625.129847281549	1763.63590502521
