	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Actinomycetaceae	21.3361489242241	98.6845043514697	83.9655399864532	1	50.68666021442	1	233.100558871624	1	58.6372761521695	114.448529720168	158.709551881061	32.1358056776659	1	83.6474041107156	2305.73940708461	69.3437592212871	1	123.434756700376	46.6735333715557	97.318312656231
Aerococcus	130.562781488839	149.008946767374	215.670837874623	166.617664418686	1	103.971747629361	148.797239623346	1	194.430742360561	218.615336156251	178.314807328238	131.025660206486	103.865732369185	1	1	45.4911278663213	280.823445066616	172.707288969252	158.912720981883	172.080557656692
Aeromonas	284.408304083618	197.741306350995	342.674010855044	357.86927982383	308.621400414347	223.239534499725	264.836668855338	187.297722724907	244.062726997409	267.312357327131	253.555533086778	195.675184757777	456.506442935737	185.653860657625	367.644317652754	294.104533418127	387.68815134597	207.559821667712	196.769974831164	368.604030282726
Akkermansia	2316.48127385377	50063.833314718	14104.3609770368	2243.0399484051	996.056147997267	2894.36242088735	5178.08005382966	4157.01150831107	1615.14397045708	2183.62866295977	1557.12076045761	2682.36143614491	1423.94909257978	954.872079180821	780.787607333775	844.662847082512	579.252299391475	1160.86917338376	18399.3928765468	1296.85304884203
Alcaligenes faecalis et rel.	1	243.966097034803	6.16915069747906	1	1	86.4793561291219	1	1	1	1	1427.90045150243	1	29.5937441413363	1	99.5318028681386	47.7334148798378	356.421250589322	123.72355473887	1	1
Allistipes et rel.	37448.0108777875	75777.9167933506	393918.030639171	12904.5659809144	14413.0395721615	2575.70521828608	5624.93036940044	2608.27852197198	283275.286817808	112010.080157559	54461.9750189994	108655.430514245	2116.90685396512	1299.01865230644	2977.44389220792	3766.44924610206	25573.880621189	4134.32562677094	45862.3779084769	38208.3084187152
Anaerobiospirillum	194.20008570261	187.356510232492	292.271272802467	229.963738218864	226.56117230665	247.867148719857	181.956754734463	183.544791189964	254.960106588757	222.944611174831	241.194338074752	185.546309188184	188.451081708926	2674.66711659093	222.446801082973	601.346811688848	356.771294267383	198.139044995435	197.372742927913	208.74559081431
Anaerofustis	1	1	1	2481.22863341148	1	91.2234533943218	1	93.8561039273782	445.062451955168	483.026581672559	1	1	442.973387534471	246.205041098487	822.220857569878	526.702678643315	64.5101727946575	281.039551399405	240.495389666037	1
Anaerostipes caccae et rel.	38381.7637026379	23937.9638652358	210250.256284147	247882.397593219	49334.4569679339	216509.078529906	140391.837535	136378.287924714	24334.9549144425	105355.023650535	88918.1277112413	35143.7119614738	288678.18845953	1200.64741180315	133452.479010568	1787.41399604515	72115.8867475537	47827.728247266	64396.9078380208	101776.55882051
Anaerotruncus colihominis et rel.	1	29493.0943817269	61095.4397263815	1	18648.9369378475	1	14792.97675069	1	13514.6836004078	16296.7378308385	63502.189656594	1	1	220.614315360635	1	3066.59340226933	1	1	13843.5455452687	8734.95775891458
Anaerovorax odorimutans et rel.	3899.93648319455	26371.3989760656	52860.0903475834	38997.5061881827	6288.56163343327	1226.18930354355	19996.1837828788	3206.27251080933	1	4831.59731635175	23798.7053003282	7639.70698727218	1037.41938607398	1264.79371464063	2105.08834749208	1638.45758911353	28130.4731376468	13617.1443812079	1213.63677602019	21198.4685613556
Aneurinibacillus	593.533261886057	336.046178026893	951.64530782945	3799.61730759562	880.83428188602	373.097180729638	1698.29569223239	260.330071191686	491.166653926647	699.054526884628	494.268841011137	479.364739135572	462.900018098793	220.275881205592	509.5925676063	618.146600292961	799.448574401021	303.470817221341	272.607660283255	2817.0022885424
Aquabacterium	298.587730225568	208.267952598644	142.760743017429	64.6745948695447	39.2421698570449	84.5560042573762	48.0085843518811	46.1362325023973	1	1	1	739.024952740579	57.5472044459685	38.6056320840591	110.637849081672	79.8079403272286	216.478774869844	90.4368901194391	1	515.153245955838
Asteroleplasma et rel.	237.317708124043	231.396420262539	349.244280629466	287.154130241807	279.497537569574	271.260699034912	227.401178914725	219.042882944856	293.13336619623	252.663507399221	279.068853860483	222.36231115314	232.711403822594	218.239925485779	266.575826856532	319.333917338005	422.954833417707	235.356245620578	234.288567691694	266.003613947636
Atopobium	364.688984829974	508.810733665421	672.971771115062	734.918182227607	410.781328986829	360.97379769641	1517.34193823443	296.634338804423	392.624359342672	326.358058434686	558.056392239959	289.860094283464	2858.74073551876	398.443107424648	376.471115969121	459.552174443905	753.288799452213	383.077503313133	311.67040043354	613.256426844557
Bacillus	609.540034223405	334.585549064363	691.057723367017	834.292828417652	1	476.47901450573	587.809849178815	719.455797477667	411.962554003864	492.810331381515	495.360628777365	526.001951710106	786.270310265465	480.535460429886	1445.53752304333	2587.33918130185	562.205020446914	331.322426143524	302.761210067737	983.731700974947
Bacteroides fragilis et rel.	1	71974.9524301349	1	37849.8417589398	35589.4957967496	956.752846130555	780.874998491085	1443.02026083558	71593.2741596276	1	1	1	810.89984345214	982.882199404525	1148.42947904943	1683.91635846952	1	1031.34531745474	1	10671.3313546543
Bacteroides intestinalis et rel.	5103.39846288473	12642.9263887812	6637.12224107806	4404.79159250363	543.601358295896	306.891361304188	2876.97696505427	157.440968113635	48534.2974762602	52237.6599277943	1	63921.8625417269	282.187811998532	432.300697870557	385.839380736212	512.641538746773	220.100787416205	342.850029765473	43329.7604304275	14415.49572278
Bacteroides ovatus et rel.	28600.4693626393	1	46442.553136113	4139.93408440311	1	1494.17821234001	5483.00848853869	1844.72286170082	141943.132397546	92719.8274621735	19338.9709151389	265974.943653616	1179.28533009374	2945.96898727826	1393.38373711671	2495.57253823026	9726.26040387205	1380.2100706986	337410.281820854	16648.9836531254
Bacteroides plebeius et rel.	9896.3686440732	1	71746.1155085426	1	1	392.202339535794	1262.45781400991	147.456470680667	1	38098.4569134022	14438.7579014262	30531.1816184071	463.99921748056	1893.33390492013	568.845270810028	855.968659261269	8658.30935967731	5.85035103088955	79576.4390516633	29829.2671299104
Bacteroides splachnicus et rel.	18964.6234668998	59977.7253363296	119684.82568727	4395.84058850028	2445.37667881061	2157.4449835445	4696.65391798919	3576.92614305229	196999.000753784	88261.5427805454	18084.6672022411	162595.135955175	1640.1331851079	7607.42195895059	2184.17033660612	3416.90825337735	8104.28288098679	2153.23007561832	96443.1463038856	39311.5674054438
Bacteroides stercoris et rel.	52118.4698138471	4640.70529739996	101599.162564512	2517.16692843878	21390.6288672028	742.244129108578	3264.08279200215	1907.57809276455	255465.082440655	25599.1331292278	118616.388892439	61701.851347422	633.389584903694	965.518497256406	744.846690817186	791.462780041332	7448.91692158119	881.978068036913	1	24558.0924783049
Bacteroides uniformis et rel.	53074.5948489174	44466.7917858452	154070.99517327	22536.948569419	54585.9081797468	404.397724586742	6747.12555232781	663.972083293293	174164.832536199	202288.628139803	75653.3570619405	313976.934556855	386.235503211813	894.213713887591	437.461610615306	960.332856651589	12998.0728352928	713.415035624267	195769.24899322	27397.1073929948
Bacteroides vulgatus et rel.	39024.6206827877	5111.59057031217	52536.481634978	23890.9305087324	37599.4962760861	458.696121545109	5107.25214966895	626.713785731024	160427.75249627	163790.303946418	16068.9262420855	266252.8298235	532.064664999285	4052.57847907593	808.281797816544	1430.21249493856	9248.93949673828	764.292811763703	150704.390195214	76217.2836044905
Bifidobacterium	117879.343290984	233837.909330797	91991.4196878813	1271.92718267479	13504.0490745572	171786.776877843	533723.869962882	576926.458646055	2785.83729816741	75538.8818974745	23490.2214174769	146515.60166323	134134.703089849	613992.27172482	291013.146503442	53129.6862645216	43162.3644640577	109199.332846329	106094.098646267	354274.998533855
Bilophila et rel.	414.624037521673	430.622736536604	797.605593573625	484.181401500291	472.837547528539	449.062495273194	382.555110655772	365.134495366413	474.07339485355	429.432258005817	471.587146396781	600.070123984033	379.023147013731	387.656388146557	478.348416476461	1224.11213849579	712.488522168162	430.390129950902	424.34005737058	567.476369863083
Brachyspira	332.405619093439	371.448988242104	508.336800891352	388.583515983392	413.33809619515	399.043181887562	323.632552845912	318.836805022989	425.884965753503	361.154878083489	419.32818453592	319.516166930457	336.069348573261	334.689084049463	396.151599111825	417.893573695413	679.859445353747	366.748651156362	343.687751604517	361.253712348449
Bryantella formatexigens et rel.	13361.51735071	9845.6661108757	43699.0779654799	44414.8954501995	76599.3890939718	22194.6140754784	22610.3612980256	1	1	121578.639901663	1	93567.9570267917	1	11080.3425990478	50226.8395823089	7994.22278606879	28918.6022939345	69924.6021127497	1	217757.48442182
Bulleidia moorei et rel.	748.559014803321	660.713848046306	1429.99266693851	1119.2552775488	1066.83031086654	856.462281742101	1123.20839028632	858.989722760756	730.181849156421	975.911312958653	1	1	503.660379390239	2110.46118785995	987.230240499711	953.79463741931	1345.29761171962	615.640180202499	1433.74313723077	1761.21636593388
Burkholderia	1669.50239328373	946.63109257751	241.356081925139	167.190425261124	165.081477570334	181.641289574068	133.711746448639	187.858567703835	572.078272738368	316.465918886836	177.492256957568	210.705118928903	125.136706509437	744.587325928183	156.10155163357	168.7192217099	228.065637741509	167.488136163987	141.092969173727	301.057523550474
Butyrivibrio crossotus et rel.	70048.6730271328	21048.523040972	46766.2199768455	1	40542.9965336061	1	56642.9422836805	1	41148.6644643655	58024.2982394734	1	194938.504699911	1	8357.08060853597	1	5621.73872340386	101066.499510759	1996.06414056745	1	79240.6995875853
Campylobacter	770.966212427902	728.784012216431	1097.13334970188	905.613148488735	925.515578849294	864.701684948801	726.588269486082	713.454270199426	960.984476292935	834.438401494676	903.941763732877	712.0093611206	736.342289363496	810.282991650807	855.463746643634	1180.05021112527	1423.38086269645	770.54721232809	766.3216224572	789.790531477172
Catenibacterium mitsuokai et rel.	213.591214973434	202.266358675776	597.914541158682	246.423014270005	252.936746242094	1499.03938947175	1017.38487191194	208.145423628691	255.971109599219	386.021397917798	3795.83939946043	535.313274379353	318.356181894397	182.645048902974	219.253859376725	518.830456263557	368.085660057867	292.781287747078	187.547355004214	292.23165937977
Clostridia	3811.79229272552	43570.5364899509	6933.11398747543	3151.93606974926	3865.25409219431	6400.96574033251	6238.23029932423	115223.059980643	3853.10973914319	5976.12714413872	6139.97356173105	2244.15273789023	4363.37586470392	5600.31397269485	53322.029565689	9671.54262019676	14645.3976804085	7321.87378538961	3120.29706722448	28347.8415499613
Clostridium cellulosi et rel.	59995.1364839426	155815.214207001	168587.193906986	38632.6637371481	27235.1394425855	1	25890.5450239962	1	1	1	86048.6130243029	40860.1775553755	1	2439.41044148169	24900.7924536698	2599.780471984	185706.06851648	41568.9450212406	1	78694.684384342
Clostridium colinum et rel.	19992.1812826246	1968.397641921	53783.2730676054	7286.6188888851	5473.16759136774	1	13940.532733542	1	32172.0479330213	53324.9206004789	81220.9354791966	25433.0992853875	9754.71186226163	3287.53856734366	1	565.615521122808	31944.2499997794	59139.9859802109	97181.4859874143	56179.9192105138
Clostridium difficile et rel.	4527.78869106278	2026.44124377239	50201.0976323356	4152.7066571515	3218.76619425586	5352.91297629203	21991.1840653575	102205.137990495	2634.08899736685	16372.3999148602	18711.4166573494	3315.75835039039	6997.75792657136	1812.70243896879	16376.4282705508	2764.18387942247	39378.5032334614	14596.5058193275	3569.75216974889	50795.4292444647
Clostridium felsineum et rel.	230.336446928442	1	859.974442884001	253.9449375962	207.047889339461	118.810131648588	555.790249307815	1	224.159908709057	202.307385183266	1239.0898314037	200.245798481735	158.531288715522	136.283282875642	1	224.043804807365	615.360824860816	460.764943229836	178.366616349607	4350.22872151816
Clostridium leptum et rel.	15614.9458107718	36639.8899737121	97093.5336193021	1	7722.33871569322	1	26958.7377207235	1	23180.2572884433	158108.364036638	36834.4129776658	1	9990.34226056205	2805.58993697175	2704.17678616088	1269.76085042571	83653.7977085107	1	23035.7618262835	34422.8179779724
Clostridium nexile et rel.	86097.3378746148	46956.8143967193	243940.331105268	126759.378599378	228065.371851671	92202.9905680255	224714.541277715	148887.258545857	63802.6428247719	198709.975420313	176227.566170771	44684.736720198	137779.214019603	3738.68615900586	86693.1734288914	1409.86911049702	65291.2726750264	88226.990272294	18124.0598241239	138687.001044712
Clostridium orbiscindens et rel.	79935.1894790076	6233.64434688785	209620.570871969	34654.5068645519	83343.6224603875	1	124756.483138589	36000.770099225	54691.4698015879	2879.34056078951	39178.3065453805	48529.2870908451	1	7797.10787734024	16027.2249778341	6123.7403849774	45610.9488316675	1	1	12509.4924282202
Clostridium ramosum et rel.	995.767141433476	760.301917666155	7919.00353885613	5514.88661058622	1424.75665108109	16299.251828079	10682.4305673713	3616.44724876613	990.998870446858	4094.88292435281	1070.04259516752	2345.56470785391	2577.69844028841	604.16976164854	20481.5218514099	838.197141799062	1320.52684164373	2649.34913687107	13417.4083503388	1143.17638008657
Clostridium sphenoides et rel.	132851.858229356	61444.052505541	68967.6684837967	61769.653571089	109380.545516828	24919.7014942947	114338.463746873	33416.1394504691	28888.5976233507	306855.092211929	130358.533932218	142490.888778817	57143.2008472104	6115.58023667837	25406.6832160305	5754.60278206567	75779.739659218	91898.4522503471	162622.666919617	126950.806912523
Clostridium stercorarium et rel.	87921.6348003043	7094.68115312527	20750.1447674092	36787.4480271524	55532.9336561171	1267.29162814147	42981.2753123264	38165.2896664839	1	17181.0166538979	10818.7515172939	6954.01150806014	100046.08820139	1038.11913902867	87386.2294873545	861.015032645066	4912.24493090066	7952.60047501688	3173.48587095487	50122.7693314835
Clostridium symbiosum et rel.	98235.0707611844	16389.7991276036	211937.38829016	177562.81981915	315480.472023701	11582.5036227643	5687.8295042626	1	104750.53835096	1	13136.4923854222	47420.7116002641	29803.1263174383	6858.57487056939	57373.7270847244	7932.43912085371	111536.22175434	1	102901.507276357	81312.3350813008
Clostridium thermocellum et rel.	248.058995662267	234.196042624353	359.684513464555	282.592007210755	281.729580111027	274.759824286282	229.968772619398	216.273064760327	275.298174627109	252.161254965917	281.218531543939	218.05203060239	226.154158117591	222.165639341371	274.147075120427	342.913628745318	427.008201064166	248.147110557319	235.914564260657	269.749160236765
