	Sample-1	Sample-2	Sample-3	Sample-4	Sample-5	Sample-6	Sample-7	Sample-8	Sample-9	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-20
Actinomycetaceae	1.97810535748674	1.95322419063398	2.21188077551797	2.15892292494206	2.07228524282246	2.03092764504033	2.35367972101437	1.94434323127485	2.03680805491775	2.12924369715458	2.10721597366508	1.94012280039671	1.99927271219549	1.97629936880815	3.39098206614483	2.07025153004196	2.22232028850193	2.00027087243837	1.93846589603795	2.04212183228891
Aerococcus	2.17627277668513	2.13871757543073	2.33331653469839	2.29530816703061	2.32893332485069	2.24069554380678	2.17666590564338	2.21045055604466	2.2519795371585	2.34140504544219	2.25937368984019	2.18855653090297	2.16360367229327	2.62660258896232	2.42112068580773	2.36172032274422	2.44102023176571	2.18204515328257	2.15679185460205	2.32545601195748
Aeromonas	2.45241257126379	2.29389555075304	2.53361194581223	2.55250916443866	2.48801654490888	2.34682131872646	2.42133515502695	2.27020754617884	2.38571836608136	2.42539131887781	2.40235688764834	2.28931059553844	2.65849452425446	2.26635839211034	2.56424495857702	2.46702253567914	2.58736086489981	2.31504584997675	2.29174608498987	2.56538026419382
Akkermansia	3.43138186494218	4.67436222971288	4.16133377624293	3.27221380573712	3.08122704882556	3.32506547699459	3.63094174979597	3.6013700531119	3.28799041672797	3.36515217061911	3.16277384131724	3.65276191472557	3.11986437365594	2.93319153384244	2.8333622180973	2.92823254383776	3.20881023451789	3.04085431960937	4.26275801481891	3.25583917438188
Alcaligenes faecalis et rel.	2.38349358838242	2.66335403921751	2.45558365400774	2.32688521512485	2.32218091739738	2.31580768344626	2.22185519212964	2.21234023603504	2.54375135843586	2.30649782728318	3.03283427804822	2.25169027959337	2.22981445154621	2.23735138830666	2.30301943422439	2.27888410926483	2.5317787932604	2.2723853213937	2.2353810790559	2.33137730431347
Allistipes et rel.	4.78128429214351	4.84322438640457	5.54955555074106	4.22151770104812	4.3577251501009	3.42424316970709	3.87251777364748	3.40134367068895	5.46108324718047	5.30515293481561	4.91998263357095	5.21194928681366	3.35531415712025	3.47056770386243	3.48270979689904	3.66847477394421	4.5367000470953	3.6156725016236	5.07984210770057	4.7256803769508
Anaerobiospirillum	2.28600731473042	2.27034456912453	2.46429765359922	2.35976670706285	2.35326434307621	2.39246330103388	2.25757479904495	2.26136944512069	2.40476550067865	2.34624460479979	2.38056276588174	2.26610536399803	2.27288795091314	3.42710733470343	2.34526941105091	2.77840220853249	2.5511709037136	2.29477264836221	2.29308120637605	2.31753181510195
Anaerofustis	2.73829933186013	2.5819850666426	2.9134232607416	3.43002745780093	2.98353205520272	2.76193102715003	2.9377982273247	2.7575994284317	2.66405404256682	2.98563953244148	2.85217754769475	2.58351764566102	2.62995469167178	2.44261150562468	2.93469218014811	2.60406993656621	2.855853839777	2.45012587552047	2.39181237067874	2.98944145828537
Anaerostipes caccae et rel.	4.53480550373479	4.38571883077109	5.23193093609876	5.2502667190464	4.44204809784898	5.24443154632758	5.05771323569417	5.02353429821829	4.43713612881188	4.92437169680222	4.79286912194959	4.57682462415544	5.34080250298807	3.07556818987975	5.0210897122852	3.31699755672721	4.68441223786149	4.67295896949089	4.73925687944072	4.96810880897009
Anaerotruncus colihominis et rel.	4.15525258496724	4.39481181947249	4.68100485265519	4.08931827505036	4.20363958614158	3.40553585019558	4.48597699759489	3.52789935968175	4.15258979985601	4.2076143442018	4.73843000307064	4.1902748660149	3.26717081201954	3.22892855153489	3.41982597635364	3.49745557869479	4.16940443283327	3.46314688553239	3.88969853188189	4.26661623338926
Anaerovorax odorimutans et rel.	3.90977565909469	4.42103541740665	4.73256062801392	4.60287377491521	3.80059630670454	3.2420982797282	4.3084034240632	3.58718535712756	3.39697908747651	3.72056597932872	4.38671824393963	3.94923945541659	3.13836945038048	3.09489052744524	3.41845502643545	3.21163209963785	4.48677047375272	4.13728228309387	3.2602633327311	4.33916528747627
Aneurinibacillus	2.77271273451019	2.52510466817166	2.97801850896085	3.57962554268049	2.9444008798321	2.57065637951307	3.22975750897541	2.41385287926607	2.69034376283559	2.84388934783835	2.69308368265387	2.6797591597696	2.66454797926366	2.34099086498637	2.70637000925857	2.79038834091444	2.90224694981317	2.48068347971207	2.43394201440019	3.44963300341785
Aquabacterium	2.49889335953452	2.29191087717254	2.31288837133768	2.10745769707693	2.07834807415451	2.08295918698811	2.02775677666017	2.00252691334743	2.48416245553673	2.12393630539825	2.11309870366281	2.67014981347637	2.00059767587864	2.12052617718459	2.12534045988458	2.08652686796639	2.3026628693348	2.02922262747577	1.99538074158411	2.61943374885293
Asteroleplasma et rel.	2.37349626607761	2.36247572704152	2.54188399254335	2.45660001873394	2.44482135956478	2.43178289574228	2.35487868397748	2.33854191559912	2.465581163024	2.40082024501139	2.44415234681437	2.34510368044721	2.36494740839226	2.33693964515576	2.42418854230521	2.50288291360683	2.62526596601556	2.36987653200775	2.36789345671032	2.42325179660403
Atopobium	2.56073014763155	2.705701876377	2.8273510291454	2.86564764712639	2.61255216660124	2.5562708898506	3.18079714664126	2.47075487724356	2.59286969742907	2.51236156776382	2.74589916213775	2.46068754866472	3.45602282549029	2.59927496972232	2.57457653346347	2.66138875720114	2.87638459581851	2.58215146722362	2.4922998771985	2.78693335260194
Bacillus	2.78809786131519	2.63722735577778	2.89658549102902	2.89212725967163	2.77828276515629	2.72670476774417	2.74944392152074	2.71027156974083	2.73685346734456	2.78770082239322	2.7639429229614	2.71768909601694	2.75951514976207	2.75713378427524	2.88169198533674	3.35910770372536	2.93746830087749	2.64587909872997	2.6200251536014	2.9268920478452
Bacteroides fragilis et rel.	4.10203422728568	4.71906264897657	4.28687178280007	4.5177967764752	4.4623450511259	3.11495512430323	3.49479006533019	3.23550400052069	4.99295432176515	4.68657607396177	3.99968730673812	5.10013585702664	3.03457813902975	3.23875456819174	3.14059452422051	3.36022254456126	3.55186790977142	3.09767454622792	4.98544932070603	4.05848229704947
Bacteroides intestinalis et rel.	4.06723783078756	4.12213807462774	4.22890459246458	3.71084656272713	3.64379041810253	2.56785549773541	3.47473810238265	2.57510195959647	4.87168731223946	4.78689911507039	3.80648505557261	4.8653718717545	2.5321698230712	2.80538685783304	2.64333067853234	2.80460778061226	3.27808534171973	2.63589314383598	4.59286452969754	4.26615470826902
Bacteroides ovatus et rel.	4.37750191020009	4.20805421739112	4.68798698146931	4.24577828868997	3.5592196485541	3.14229230531957	3.64824906164727	3.25214896495529	5.12853363221552	4.88541254781941	4.24409623006648	5.30411021744977	3.05015535790653	3.39769638885361	3.13918340639135	3.36385825821779	3.9302024995029	3.12269048949814	5.43872266465423	4.19635468784045
Bacteroides plebeius et rel.	4.47249663904705	4.10533056555475	5.06734384035855	3.7810517077799	3.89787018383076	2.91304208121936	3.61162907521807	2.85761293436752	4.97647930328493	4.99064995967118	4.65402148762624	5.16514211517925	2.86980518463842	3.126213406365	2.96102947933417	3.2511627099997	4.05760531558348	2.98127052554902	5.1317165337449	4.40860652652172
Bacteroides splachnicus et rel.	4.31652224674107	4.73245072498773	5.12644374155808	3.90936183606245	3.80879307854664	3.36586114439595	3.66499267915813	3.57473617896827	5.28997681857382	4.89583982991214	4.27665076525584	5.18191082622974	3.25016668112608	3.87193590128422	3.37033543208349	3.52655007329971	3.93882733650798	3.36608828230032	4.96419027384894	4.54418134965853
Bacteroides stercoris et rel.	4.74688195666651	4.05032378029941	5.01583019235074	3.64739458580645	4.33096657457428	2.92972098957885	3.63014653835546	3.29275846300813	5.45118809609814	4.68950022054016	5.08344897117766	4.9790365445184	2.86308243797795	3.04658187146699	2.94815760405126	2.99726648108424	3.9083339895358	2.99864449311409	4.21665534713546	4.51935697504364
Bacteroides uniformis et rel.	4.45184498212648	4.38534531568329	5.05056582506399	4.13432648325785	4.46232764433857	2.49350465350128	3.53020230100952	2.63077519786301	4.94000245783286	5.06618207708012	4.56661471321485	5.23959614991063	2.47218777134133	2.78969462267925	2.54300077398542	2.7458370830338	3.90789158758079	2.62150345570188	4.90892252997478	4.17900150903615
Bacteroides vulgatus et rel.	4.49465377813829	3.83991071973184	4.6664568393022	4.3251085405535	4.51216081538135	2.71320925452085	3.63126908248997	2.76210432142947	5.12194063333348	5.16923944898878	4.13631173874922	5.36003096550849	2.76043515187725	3.56931727957152	2.91609941610555	3.16187544203428	3.96759832138465	2.8626307683571	5.08656947275557	4.83465369393413
Bifidobacterium	5.08522157431586	5.37460025566202	4.97642847944688	3.41253645172301	4.19647047119985	5.23786433183588	5.72920392620779	5.76274650992296	3.48294650381651	4.88297078697632	4.39976236956338	5.16906019851481	5.12856964566217	5.78625796465355	5.46501519934522	4.7227768299647	4.64370143194974	5.03942985961041	5.02702717375013	5.55380690650568
Bilophila et rel.	2.61660576959187	2.63308725707487	2.90124335159582	2.68411020917838	2.67379249787983	2.65133859314855	2.58155727499108	2.56126182267924	2.67492852447386	2.6318821627819	2.67264006069554	2.77747766158268	2.5775183932567	2.58732518977304	2.678835486204	3.08746627624915	2.8521678983778	2.63285205743343	2.62668936432074	2.75318179830866
Brachyspira	2.52035986775437	2.56872841298947	2.70529636605162	2.5883652981267	2.6152534614155	2.5999301892551	2.50870818452878	2.50220418642983	2.62827136416598	2.55648930141285	2.62151712581915	2.50313148072316	2.52513470132276	2.52334199983842	2.59676374379526	2.62002520064289	2.83177986496374	2.56318273316665	2.5348985820907	2.55660846483409
Bryantella formatexigens et rel.	4.80283341268797	4.29148893924604	5.0091640669634	5.10428974315847	4.72066087895788	4.77497748577183	5.11351089249561	4.48085731406184	4.63391981989264	5.22709448208505	4.73716416833441	5.09990814278038	4.22739495060718	3.87293271950487	4.4358200619245	3.83249867991559	4.79665811584942	4.92799803944326	4.06424897237062	5.27641067581469
Bulleidia moorei et rel.	2.89718126588196	2.93081775933024	3.16456684426854	3.06509318689723	3.01657264986577	2.9498667773968	3.03932606451747	2.93849332976485	2.98810551783863	2.98109966493345	3.46539485112367	3.43786310898978	2.84672797998079	3.32466698689424	3.0122500042162	2.98638994432662	3.15169656293381	2.89774130715851	3.19793802819794	3.19376140784836
Burkholderia	3.22232683393907	2.97572174347885	2.38085511590968	2.22060599913496	2.21505955824374	2.25681702496233	2.12290936440214	2.27151301559852	2.75669563729779	2.49895244745059	2.24672565683792	2.32160903177885	2.09390021886675	2.87133197883203	2.19061614251075	2.22458283842101	2.35615141661348	2.22138329140337	2.1464163399562	2.4772045206055
Butyrivibrio crossotus et rel.	4.91417439872447	4.32498581501982	4.83174620342391	4.26161679422564	4.73401711801209	3.84921582448937	4.84554527047962	4.3874706340891	4.75082381402942	4.81569275932996	4.26700315376045	5.22555846361314	3.67493965137704	3.96193148468477	4.21357573409311	3.76143539839616	4.83970518462685	4.65616897586694	3.72207026141436	4.94376173651141
Campylobacter	2.89862037925388	2.87803415534528	3.05724014392787	2.96939640073841	2.97898341144661	2.94915500640198	2.87735322476664	2.86563837923521	2.99344860022786	2.93409151121768	2.97092846913201	2.86787879708868	2.87958996958445	2.9007248510198	2.94813962418555	3.12727387018673	3.16562782589412	2.90016248214336	2.89757887958764	2.91477081475369
