	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Actinomycetaceae	95.0835433200247	89.7892183003229	162.884881232579	144.185943931232	118.109612001114	107.38104969026	225.777011924581	87.9717499811072	108.844892536395	134.661577322557	128.001769581579	87.1209897015947	99.8326759373628	94.6889648466023	2460.26600726558	117.557821665359	166.84772467629	100.062390138425	86.7892421389846	110.184836684401
Aerococcus	150.062707071756	137.631415162939	215.435135749272	197.382282611902	213.271746212592	174.058623146689	150.198607266863	162.349350698707	178.640340212502	219.485101236585	181.707850032356	154.367734642769	145.748358534712	423.255479239908	263.706409602047	229.996021045625	276.0706461735	152.070562817583	143.480160759899	211.570938220131
Aeromonas	283.408304083618	196.741306350994	341.674010855044	356.86927982383	307.621400414347	222.239534499725	263.836668855338	186.297722724906	243.062726997409	266.312357327131	252.555533086778	194.675184757776	455.506442935737	184.653860657625	366.644317652754	293.104533418127	386.68815134597	206.559821667712	195.769974831164	367.604030282726
Akkermansia	2700.11253454768	47245.6936644294	14498.8573252702	1871.60331495754	1205.66609695528	2113.80770689003	4275.0554267563	3993.65047908589	1940.84304989659	2318.206774415	1454.70134814264	4495.33347932856	1317.84512285552	857.415901966358	681.337383046194	847.68118520764	1617.37317012158	1098.63724909354	18312.937567829	1802.35018054964
Alcaligenes faecalis et rel.	241.820763695402	460.631930212427	285.485236383622	212.268335851829	209.981443732457	206.922484091396	166.669139090847	163.057295980575	349.744874336654	202.533947429893	1078.5350866843	178.521398186652	169.751824794162	172.723483503539	200.918271942494	190.057104813563	340.234847844052	187.234261209611	171.941645653998	214.475310044815
Allistipes et rel.	60434.4107714541	69698.6532286134	354450.465249805	16653.9670492299	22788.9937923867	2656.09234211417	7456.20386168016	2519.67003207168	289123.403173839	201907.724732565	83173.0511463618	162910.578852492	2266.28308392872	2955.06952989952	3038.85373233909	4660.95354001698	34411.2181711938	4127.36143221496	120182.741825831	53171.6793330726
Anaerobiospirillum	193.20008570261	186.356510232492	291.271272802467	228.963738218864	225.56117230665	246.867148719857	180.956754734463	182.544791189964	253.960106588757	221.944611174831	240.194338074752	184.546309188184	187.451081708926	2673.66711659093	221.446801082973	600.346811688847	355.771294267383	197.139044995435	196.372742927913	207.74559081431
Anaerofustis	547.393116537605	381.93113778752	819.262847732261	2691.70497869588	962.791073798151	578.004243877133	866.559179903944	572.267956069271	461.374983388065	967.474512079894	711.504330461403	383.281313047196	426.535017668145	277.084036440157	860.383712043653	401.855518399851	717.552760867465	281.919992722124	246.497415826082	975.981213950466
Anaerostipes caccae et rel.	34261.4314349365	24306.2987071667	170581.109995353	177937.186385184	27672.4809948057	175562.415019869	114212.394221138	105568.487217864	27361.2622567532	84017.8757235856	62068.1958663863	37741.9751332897	219180.797594892	1190.05816909553	104975.9255205	2074.90184434899	48351.7545303945	47093.283233252	54860.1359420458	92919.9160953778
Anaerotruncus colihominis et rel.	14297.2524263628	24820.5739262661	47973.8809041	12283.3909630572	15982.3113233599	2544.10979595779	30618.012611072	3372.09157149348	14209.8600233283	16129.2563420051	54755.7841824319	15497.9717891656	1849.99609640989	1694.05907740842	2629.21424345685	3143.80484339655	14770.8141179513	2905.00500877516	7757.08467014318	18476.3522478917
