L1	L2	species	specimen	oligoID
Actinobacteria	Actinomycetaceae	Actinomyces naeslundii	Actinomyces naeslundii	HIT 1589
Actinobacteria	Actinomycetaceae	Actinomyces naeslundii	Actinomyces naeslundii	HIT 1590
Actinobacteria	Actinomycetaceae	Uncultured bacterium clone Eldhufec234	Uncultured bacterium clone Eldhufec234	HIT 6743
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 832
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 833
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 834
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 961
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 962
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 963
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 830
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 831
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 832
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 833
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 834
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 1185
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 2591
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. CB8	HIT 1123
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. CB8	HIT 1124
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. CB8	HIT 1125
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1123
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1124
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1125
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1128
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1145
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1123
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1124
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1125
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 1127
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15A	HIT 2591
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1123
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1124
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1125
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1126
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 15B	HIT 1127
