L1	L2	species	specimen	oligoID	nSpeciesPerOligo
Actinobacteria	Actinomycetaceae	Actinomyces naeslundii	Actinomyces naeslundii	HIT 1589	1
Actinobacteria	Actinomycetaceae	Actinomyces naeslundii	Actinomyces naeslundii	HIT 1590	1
Actinobacteria	Actinomycetaceae	Uncultured bacterium clone Eldhufec234	Uncultured bacterium clone Eldhufec234	HIT 6743	3
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 832	2
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 833	2
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 834	2
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 961	1
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 962	1
Actinobacteria	Atopobium	Atopobium minutum	Atopobium minutum	HIT 963	1
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 830	1
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 831	1
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 832	2
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 833	2
Actinobacteria	Atopobium	Atopobium parvulum	Atopobium parvulum	HIT 834	2
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 1128	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 1185	2
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium adolescentis	HIT 2591	8
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. CB8	HIT 1123	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. CB8	HIT 1124	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. CB8	HIT 1125	3
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1123	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1124	4
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1125	3
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1126	20
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	Bifidobacterium sp. PL1	HIT 1128	20
