	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Achromobacter denitrificans	63.8699953542666	155.320251491442	56.6097838913229	48.3425795557813	45.807426712004	45.1635711941367	37.1507797841206	35.6673306112606	50.0084019653932	45.7048631471896	46.0781987055931	36.9700715095189	39.301433058624	35.4813473060525	43.8575806202905	41.8341174776751	83.7460939175928	45.7373020649395	37.2885110457625	42.1301145322175
Acidaminococcus fermentans	45.630570493328	36.7363595754204	54.9032176441698	43.7978625815757	45.2166721209588	42.600989087237	36.5526393017599	35.7891040813256	61.5647211639937	41.5065359196735	50.772514704525	36.7534568958925	36.4555375725619	35.6269242461585	43.4678961235095	53.4851297604209	73.1701260106031	40.1098546487057	39.3292551955016	52.0639744707733
Acinetobacter calcoaceticus	40.5295794555682	54.8828038694795	57.9823242516123	44.7390185467496	45.9726287102551	47.3181904060134	36.2678197732129	35.6571520197783	45.0000235869212	40.9092969633848	45.0601428816351	35.9569811554872	36.6958197932154	38.5761186682085	43.0554493575313	109.819687857691	82.2921423800096	38.5563852403729	38.7689717816744	44.8397932159076
Actinomyces naeslundii	40.0963996712055	38.1960552817215	70.5044840099754	61.6608432937892	50.2583500258169	46.0452261788508	82.5246661806016	37.4107700441173	46.8404105699141	57.9875519807012	54.9033958870803	37.1795162101633	43.4353631127414	40.7462299876828	340.777001740072	50.9986261841253	70.8952465139339	42.9486788613866	37.0779249927824	46.20934884424
Aerococcus viridans	39.4633492712839	37.1572501951429	57.0469387412515	49.9222105963941	50.1209702699817	45.2056112679012	39.1898186512817	40.0081640604651	48.1563279909468	48.8891088983239	47.4359816451178	40.0176860581125	38.4706855384199	51.6610149250392	57.8241693440159	59.0137189170566	74.2268129241909	40.4672716714014	38.6612565389391	49.772656574997
Aeromonas trota	50.0558714216992	39.1644440627704	65.7441480499651	61.3552959037107	54.8398490527082	44.4283863844197	46.4621365886079	37.1385063671739	48.4174167855743	49.8492836500976	49.7785387923844	38.5017168071639	54.6365043002878	36.8177388539924	59.3044805312707	57.1980450477795	76.7956899426655	41.0102427930309	39.1346153558348	57.5946428623332
Akkermansia muciniphila	88.4892879302419	5089.24695641699	1588.43340180154	47.9619699788959	71.7382090913496	48.9087223672584	113.58347743024	95.1162446818523	50.7448647789334	96.3291818042375	47.4818756113999	359.736378551962	145.867060835463	51.1771580004538	48.8399173468246	77.3378565012779	112.420815431876	95.9952585486243	1742.37042611828	54.025327250082
Alcaligenes faecalis	37.8637742125473	37.2094456159025	54.5334445070242	43.6532393342493	50.5543774304374	45.0997245218067	36.2383903078146	36.0554501437551	47.2396428547347	45.4588493359487	45.0062471276209	35.9521024120858	36.2493619112102	35.1375164076784	44.3669923072865	38.9604325119425	67.1803167776471	38.639316878646	38.3205843768577	39.9550861226069
Alistipes finegoldii	410.444542345662	164.48356163667	2707.70375925436	289.246428332865	122.422051479925	44.7266989402874	102.876347196227	42.9341537516009	853.483396465705	2249.32668158106	390.408523846919	727.649603892593	38.7869206956491	50.5325138054572	51.8489307602474	54.3450836362164	185.527469197814	53.3618608898925	245.678428124273	216.763711449464
Alistipes putredinis	995.756807888364	240.312549468864	3030.06424175889	237.510962501765	481.564250379258	45.4071372673576	155.777181097518	37.7247421559708	2080.03166988221	1949.84307879173	1408.10814832031	163.900149713115	37.9505475527992	45.8636686027829	49.9926090735706	52.7145849869838	776.597225169313	125.951229953126	591.471716044268	700.195161518933
Anaerobiospirillum thomasii	38.3885970407628	37.2889952606419	57.4798873792156	45.7103781515752	45.1877982969895	46.5831592238709	36.1036301147143	36.3931241473518	50.332748152616	43.0080888649793	46.7469763539822	36.5567744799174	37.4058600501245	75.9872633549923	43.9643348268734	64.5252917423638	71.1653138904042	39.2853177230842	39.0573732020216	40.9593091419714
