	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Achromobacter denitrificans	113.546716290766	346.909401245924	103.487416462683	87.2651593580907	84.3235870032437	84.3595462632678	67.7883479111243	65.3283190684749	90.8414326503521	82.9972656384901	83.9446017320033	67.4427317427269	71.2578720827991	65.0540146238631	80.4209293551898	75.9343107855359	149.554692267783	81.8347734589204	68.6416385384871	76.595938483809
Acidaminococcus fermentans	333.006749320893	128.9060504993	193.144180400488	153.679705316284	158.283299013701	149.231875127532	128.429160778188	125.007881959963	735.741387676302	145.416919469678	198.99693543408	130.933746343834	128.398000326611	125.291768584625	152.476598354763	191.532428373703	256.669659114376	141.116886946538	137.822406977429	502.380126195412
Acinetobacter calcoaceticus	81.1412913769135	114.946927523565	115.979946445953	89.5093023936183	91.9661387852999	94.654182814538	72.5621673154937	71.3155257229243	90.0093784119184	81.8278951933062	90.1211840608878	71.914106835993	73.3925094109727	77.1829499219567	86.11277782407	222.261585227938	165.661835839983	77.1694022808402	77.5570672658379	89.840408274547
Actinomyces naeslundii	80.1951320877527	76.4228894023436	141.675747069555	128.305061108468	100.770539921734	92.0939001297486	212.18500916498	74.8413793492166	93.7420924093642	120.388192733195	111.139771463131	74.3668788242597	87.4640697387554	81.8385400903657	2445.4470823068	103.321992836972	141.852872131917	86.2824786154143	74.1933445864474	92.4213289451092
Aerococcus viridans	150.062707071756	137.631415162939	215.435135749272	197.382282611902	213.271746212592	174.058623146689	150.198607266863	162.349350698707	178.640340212502	219.485101236585	181.707850032356	154.367734642769	145.748358534712	423.255479239908	263.706409602047	229.996021045625	276.0706461735	152.070562817583	143.480160759899	211.570938220131
Aeromonas trota	283.408304083618	196.741306350994	341.674010855044	356.86927982383	307.621400414347	222.239534499725	263.836668855338	186.297722724906	243.062726997409	266.312357327131	252.555533086778	194.675184757776	455.506442935737	184.653860657625	366.644317652754	293.104533418127	386.68815134597	206.559821667712	195.769974831164	367.604030282726
Akkermansia muciniphila	1222.68610101455	40469.6236936756	13098.3559171446	768.835610966515	636.915667608676	852.370699941342	1812.27792909343	1657.36861961233	800.746366592798	1103.04002690127	629.042885223586	3284.71579848527	1027.49259946624	480.672584324537	383.351240217623	610.689999535184	911.357031848719	715.129747737577	16809.1638020348	791.719959625292
Alcaligenes faecalis	12.6212580708491	12.4031485386342	18.1778148356747	14.5510797780831	16.8514591434791	15.0332415072689	12.0794634359382	12.0184833812517	15.7465476182449	15.1529497786496	15.0020823758736	11.9840341373619	12.0831206370701	11.7125054692261	14.7889974357622	12.9868108373142	22.3934389258824	12.879772292882	12.7735281256192	13.318362040869
Alistipes finegoldii	6999.17567075008	10662.2015091869	58098.3383889579	4370.04715797413	1476.12033806151	417.32180354495	1259.8576049499	456.709301717531	58274.9981386602	44728.2642911149	7470.64744146706	26339.0713177864	358.16251902703	612.168735923743	507.272181269986	704.413596257158	2567.51647077242	550.733696407116	26547.0577635204	6078.92739751836
Alistipes putredinis	13778.9044962145	1934.38159666658	54847.6529275734	1657.89041371329	5258.30842448778	209.593425418194	967.823442016747	179.018149259139	27290.2635987034	29564.0221579192	22819.4223607404	1710.24712230398	176.340334752782	220.330126309527	227.872261972993	259.594232733854	8399.62044206397	779.240339263628	9620.31755682882	7281.91847390325
Anaerobiospirillum thomasii	193.20008570261	186.356510232492	291.271272802467	228.963738218864	225.56117230665	246.867148719857	180.956754734463	182.544791189964	253.960106588757	221.944611174831	240.194338074752	184.546309188184	187.451081708926	2673.66711659093	221.446801082973	600.346811688847	355.771294267383	197.139044995435	196.372742927913	207.74559081431
Anaerococcus hydrogenalis	226.709383220309	226.39630545292	336.481978799558	260.231806451111	280.415365871479	261.707804919957	220.123408894586	215.24513330156	300.389828579005	251.37132269442	278.377454195764	214.405318666914	221.280131498579	219.923371990344	270.74961120421	527.603439032087	445.844577303889	236.64856391696	244.418698694196	239.785405096898
Anaerococcus prevotii	228.335039610309	226.097101158461	338.721534116745	270.43375143943	278.185508036117	267.454295236234	221.729422183152	214.652531326745	275.332646843974	256.079434810957	279.037849355378	219.791191963918	224.550893478966	222.754894252443	268.862853085372	263.404387247411	439.265431148166	255.191885447556	232.026157545968	249.041898551219
Anaerofustis stercorihominis	547.393116537605	381.93113778752	819.262847732261	2691.70497869588	962.791073798151	578.004243877133	866.559179903944	572.267956069271	461.374983388065	967.474512079894	711.504330461403	383.281313047196	426.535017668145	277.084036440157	860.383712043653	401.855518399851	717.552760867465	281.919992722124	246.497415826082	975.981213950466
Anaerostipes caccae	941.129347138056	513.363573639013	885.520028349373	1906.94080586557	602.815866097962	5745.7845777895	916.196100421687	540.945772766643	1994.19862805154	2191.44935004579	575.887580472597	1645.24165595315	1994.33194431552	243.850437882777	338.646167495107	376.297598491256	676.122164487382	429.285913523784	325.716737417919	2417.8346895396
Anaerotruncus colihominis	932.990777482781	584.714921254642	3584.16737505464	4169.16870378757	885.431994055619	341.200358114088	5911.59020403719	841.326067045752	2622.93945236588	1224.11828406469	1188.58369294473	1874.91774818727	288.756152181571	232.055224204951	562.035985336348	610.34651249411	1313.3285047366	351.946119250414	890.682415854709	910.390938588058
Aneurinibacillus aneurinolyticus	592.533261886058	335.046178026893	950.645307829451	3798.61730759562	879.834281886019	372.097180729638	1697.29569223239	259.330071191686	490.166653926647	698.054526884627	493.268841011138	478.364739135572	461.900018098793	219.275881205592	508.5925676063	617.146600292961	798.448574401021	302.470817221341	271.607660283255	2816.0022885424
Atopobium minutum	201.502690219872	272.945539141488	361.206957161062	387.633096491989	226.506453571805	197.260305646965	776.839314700788	165.455321663588	216.836087565317	182.836120192252	302.506246599032	162.322720673373	1446.03683998344	213.727067868152	210.141200986764	250.368899952646	414.289279211074	207.542002611361	177.050786222837	324.358009775376
Atopobium parvulum	162.186294610101	234.865194523932	310.764813954	346.285085735617	183.274875415024	162.713492049445	739.502623533643	130.179017140835	174.788271777354	142.521938242434	254.550145640927	126.537373610091	1411.70389553531	183.716039556495	165.329914982357	208.183274491259	337.999520241139	174.535500701771	133.619614210703	287.898417069181
Bacillus cereus	116.209105710101	108.206151759196	176.875171952867	137.681299364335	142.611226323543	135.079208586961	115.047777219558	110.242949767248	140.802649360812	132.853550434575	139.28238994909	106.474973525116	114.169994704562	113.225496794353	144.423051912154	394.874643252878	213.401836615829	116.043454159649	116.98688313763	132.39608628125
Bacillus halodurans	93.7946035598464	84.9466256391921	152.235114059559	110.942184297766	146.754298436319	106.733206444031	91.4436023019512	128.084896844259	107.591544216334	113.247857722131	142.175876850265	82.0493702262395	106.880897729038	237.410882118676	270.133274775487	405.592717086039	165.170924253254	90.5293665846768	80.2220626411931	112.948579420516
Bacillus subtilis	403.896612929092	240.585105959807	458.997269433397	531.435171015976	310.816197126618	291.160043991653	355.130374478695	274.854336271009	297.179557740363	367.237933072823	299.229828925802	333.498004590211	353.746977090534	221.018328686669	346.982385683079	1485.69833495662	487.328358124954	235.89235859811	219.684582759913	599.724095433597
bacterium A03	10167.6686452574	625.846767772323	14867.7108317739	15752.1748757192	1233.08036314519	240.818353737432	9338.56308448969	254.235506045573	2226.51019051732	515.529086931723	5507.82609840547	10019.4710062609	1281.48904256187	217.443910019223	5089.12522158349	317.911024654536	12830.0301573817	2414.18728082154	190.916332868393	8540.17482528593
bacterium A11	13545.5979478567	1353.87149767311	13345.932156629	1522.69466122173	4818.09902155495	791.369923519189	4065.88684514412	6983.03672392156	32646.9317038599	6925.8699956786	1724.58819088188	9309.88754302954	1849.57955662667	177.670360002081	238.965023629921	194.55577901655	19977.6129599641	2676.05817212571	361.566231199134	4401.02084548237
bacterium A19	4037.6974669733	2533.07764302219	1338.42428465272	279.79608894016	202.691339529342	186.183954238615	198.70130242271	188.628753920913	210.83442314711	225.766633666829	204.106730573227	205.518024782982	173.985127380193	154.81678699339	190.726648014846	242.166284858508	14282.2177719374	1149.49024907397	169.736710658234	511.179608829953
bacterium A21	14087.1622701214	7567.25819421457	1473.91831832473	2150.29191046737	3205.54214837972	1726.40545826258	1511.03532428854	258.793835800081	1410.51096470542	14256.8652134526	2752.58153351151	4967.85317397281	66.5040500368499	73.9121983878338	74.1588294278212	87.9521411411673	2247.97884400021	5635.55348082947	107.989132119849	4879.35692118093
bacterium A54	29134.6238655129	13148.5877716239	5438.26635950416	6037.30681671138	10554.4261314793	2855.42504644172	8299.68929894514	1581.94750338975	2342.22767959796	42904.5923667575	5225.69082226289	16706.8420574935	648.496018103561	929.149647178046	1889.21633864401	615.862697461089	6387.23541516916	6981.47917985569	392.030484369756	12732.399370094
bacterium A57	6020.49944036129	2474.02712518911	18418.301281878	49796.0105380103	16612.7835521347	13566.2664474024	15803.9459055132	13121.6028007481	2325.68522316472	12164.24438109	7561.12712622734	10337.4749186757	8466.7252130545	288.225220831614	13242.2402634768	316.257860244771	5871.89571772484	3762.89753561448	1627.42512918267	8111.89816909211
bacterium A71	3112.44420309949	1378.2308287327	7707.70240285122	2016.04418062356	1744.81624374606	1010.8098131453	5024.34316413225	483.794449844167	10789.768278543	9634.87415403031	2015.59265758111	12681.1757869732	1229.35538733953	1051.2910625718	278.266270792132	255.555573908077	3662.4097555468	1436.75785624067	246.36170092476	10153.9817728801
bacterium adhufec101	7540.21578653923	15061.4281293473	21521.1158958484	1499.03290120444	2300.18197989629	254.039484163064	7856.35350961582	360.265276105306	8832.01570991918	4946.81076686005	3638.74128324116	3686.99325861368	213.210968355887	194.591570074483	254.589473028432	217.012769961731	5745.10056029491	829.397389062315	5071.79838410137	6731.42776393496
bacterium adhufec108	438.239941063039	1148.83508623767	806.71650249333	477.625011970416	280.56750661732	196.889867637108	271.775050003121	330.919024807508	595.581367534446	230.298589598203	328.57938457219	296.449663397715	205.448691528651	164.856356281187	247.846478670647	218.895871811395	1195.97055930574	232.945395074496	199.448772548362	1375.92371298248
bacterium adhufec113	122956.900731626	6845.80559104955	83830.8846715251	49541.0298394161	53178.8335771106	3821.6849956559	48148.7865851314	4615.75122020616	124932.000584123	168601.346634212	72492.7040522676	112906.684797263	13768.8907457306	689.678432611628	1294.7754560068	784.004162062948	94312.0279714446	12334.3944104863	7480.14832955993	126116.305922515
bacterium adhufec13	143997.680678366	4008.85840065608	25508.1364705179	198112.210462512	26455.6106897314	281.506866408762	133819.933610822	413.366942843126	28928.4580539396	6042.79072417635	8365.78665749168	99569.4315959396	28626.7913332395	281.206458200998	12895.6225632194	459.307550851783	188428.670767637	42456.9666079106	219.611299236171	45754.6476275143
bacterium adhufec202	149.039047180305	149.134159494142	213.433225291165	179.081174904865	175.354718224579	175.411030375575	148.285632685795	147.692530578625	186.109151267773	172.513020781133	178.945714780573	141.844508826698	148.917457254325	150.502518529621	174.042309975724	171.296506024202	288.193441234292	158.7262573732	150.465911630344	179.447576126205
bacterium adhufec218	19707.4513082885	7229.32418839591	11602.2274877861	2038.52869353067	7203.56881540058	295.993541207439	6042.90293920071	292.981789560145	3452.51554819646	9697.73345446576	47807.0667493644	47530.2294926661	946.923948649426	288.925800221569	354.440004120366	527.118961433925	78997.6155096706	752.194955526161	477.037908368268	17934.1072308725
bacterium adhufec225	18953.9503678089	4181.24928802636	17952.1291199224	15342.126908621	11428.6259087157	1207.07983016229	61869.4701760723	12143.1396576288	21901.067274858	31569.9300032834	4418.499795841	31595.9011675149	3265.66285673374	260.123595145225	6928.83985633923	675.277252698388	9142.179845804	19379.4429716964	10496.5484263334	87748.34171037
bacterium adhufec23	1550.85339607402	2384.00369543279	1748.7243544263	437.499082951248	337.308318867075	187.55713798974	293.883019319949	198.623136645714	7099.92370362795	4258.9324124219	1156.10031104581	17618.1021219339	153.174391697656	232.639668982719	191.25871775861	259.008769028226	485.122685542018	167.852591424701	10644.0521770096	1092.03061190909
bacterium adhufec235	100.562590111472	906.179528486941	4597.85457860101	61.0546433440234	62.4300190905102	57.1170328624344	49.6377353650818	47.314916654963	225.921250754221	65.0757080625437	62.6059073872785	57.0452495686261	49.9057800210977	48.5319886315031	106.497408942876	85.3772069179718	962.93477291325	146.399275580872	51.5230613999212	7020.90690212741
bacterium adhufec236	4496.65380453306	1262.45067933633	7491.42151998272	34321.8310662197	24657.1398804821	4475.13482666684	12593.6570317485	18212.5929123926	4105.89199697046	21227.8046026808	7010.82303252385	17904.4883976619	18904.2697180894	226.064438028379	7805.77768923088	299.405117353707	7539.87689267443	5031.42857986456	2068.48915890199	8798.97190759072
bacterium adhufec24	17097.4102059241	1446.82738629003	36776.5788446436	2410.46474432379	1256.83066947646	286.622567455526	3645.76151910915	4313.13184474923	2631.04724054225	9352.98368531474	1427.01850750565	20015.2011238395	944.276416373594	107.313513940894	367.262070361635	183.025383722268	5616.1323513903	8313.65787053287	1463.09712323388	7965.45832041987
