Taxon1	Taxon2	crosshyb
Serratia	Vibrio	100
Uncultured Selenomonadaceae	Megasphaera elsdenii et rel.	100
Serratia	Haemophilus	100
Serratia	Escherichia coli et rel.	100
Uncultured Bacteroidetes	Bacteroides plebeius et rel.	100
Uncultured Bacteroidetes	Allistipes et rel.	100
Granulicatella	Enterococcus	60
Granulicatella	Aerococcus	60
Haemophilus	Vibrio	57.1428571428571
Haemophilus	Serratia	57.1428571428571
Haemophilus	Escherichia coli et rel.	57.1428571428571
Streptococcus intermedius et rel.	Streptococcus mitis et rel.	52.1739130434783
Wissella et rel.	Weissella et rel.	50
Leminorella	Vibrio	50
Alcaligenes faecalis et rel.	Sutterella wadsworthia et rel.	50
Serratia	Pseudomonas	50
Serratia	Proteus et rel.	50
Leminorella	Proteus et rel.	50
Serratia	Leminorella	50
Serratia	Klebisiella pneumoniae et rel.	50
Aerococcus	Granulicatella	50
Serratia	Enterobacter aerogenes et rel.	50
Leminorella	Enterobacter aerogenes et rel.	50
Enterobacter aerogenes et rel.	Klebisiella pneumoniae et rel.	46.6666666666667
Klebisiella pneumoniae et rel.	Enterobacter aerogenes et rel.	46.6666666666667
Bacteroides ovatus et rel.	Bacteroides fragilis et rel.	43.5897435897436
Haemophilus	Proteus et rel.	42.8571428571429
Bacteroides fragilis et rel.	Bacteroides ovatus et rel.	42.5
Bacteroides uniformis et rel.	Bacteroides plebeius et rel.	41.6666666666667
Bacteroides plebeius et rel.	Allistipes et rel.	41.1764705882353
Streptococcus mitis et rel.	Streptococcus intermedius et rel.	40
Streptococcus mitis et rel.	Streptococcus bovis et rel.	40
Klebisiella pneumoniae et rel.	Escherichia coli et rel.	40
Helicobacter	Campylobacter	37.5
Coprococcus eutactus et rel.	Ruminococcus obeum et rel.	35.6164383561644
Leminorella	Yersinia et rel.	33.3333333333333
Aquabacterium	Sutterella wadsworthia et rel.	33.3333333333333
Leminorella	Serratia	33.3333333333333
Leminorella	Haemophilus	33.3333333333333
Leminorella	Escherichia coli et rel.	33.3333333333333
Actinomycetaceae	Eggerthella lenta et rel.	33.3333333333333
Streptococcus bovis et rel.	Streptococcus mitis et rel.	30
Vibrio	Serratia	28.5714285714286
Haemophilus	Pseudomonas	28.5714285714286
Haemophilus	Leminorella	28.5714285714286
Haemophilus	Klebisiella pneumoniae et rel.	28.5714285714286
Vibrio	Haemophilus	28.5714285714286
Vibrio	Escherichia coli et rel.	28.5714285714286
Staphylococcus	Enterococcus	28.5714285714286
Haemophilus	Enterobacter aerogenes et rel.	28.5714285714286
Ruminococcus bromii et rel.	Ruminococcus callidus et rel.	27.7777777777778
Bacteroides intestinalis et rel.	Bacteroides stercoris et rel.	27.2727272727273
Prevotella oralis et rel.	Prevotella melaninogenica et rel.	26.3157894736842
Ruminococcus lactaris et rel.	Dorea formicigenerans et rel.	26.0869565217391
Clostridium nexile et rel.	Dorea formicigenerans et rel.	26.0869565217391
Pseudomonas	Vibrio	25
Pseudomonas	Serratia	25
Pseudomonas	Klebisiella pneumoniae et rel.	25
Campylobacter	Helicobacter	25
Pseudomonas	Haemophilus	25
Lachnobacillus bovis et rel.	Eubacterium rectale et rel.	25
Pseudomonas	Escherichia coli et rel.	25
Proteus et rel.	Escherichia coli et rel.	25
Ruminococcus gnavus et rel.	Dorea formicigenerans et rel.	25
