	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Actinobacteria	16132.4577074518	34606.9524722998	16899.5323661384	3014.53271200075	4893.67006693242	33428.0329235197	61700.1408304556	106557.268153448	2543.81571650806	11021.1281828567	8348.08181607768	10884.7650233151	26065.5580009864	147637.074216545	49014.696882283	15402.1036192984	13718.2274671004	8863.29200141222	8154.30740723067	79135.5435661928
Asteroleplasma	39.2815588965809	38.3597864754568	57.7354114740402	47.4849591116079	46.2881374807836	45.0000740084375	37.655997612568	36.3222385656572	48.5399175259869	41.7643513034434	46.3002717822411	36.846226364431	38.6020184715344	36.1651990120881	44.0728310566113	49.9567352001648	70.1779678043957	39.0353145122363	38.8700970787346	43.9907972155348
Bacilli	7842.25466473349	3293.36927459298	10644.5055764543	12499.3862964131	32790.2622130869	37726.2375033295	75377.4067938926	41887.4096650842	4301.06384401306	60467.3761300772	10407.6481164036	6587.25783561749	4751.53906065561	33112.1473751957	50521.3123437544	13293.0701418794	8510.04372348917	3809.73941873929	4526.09320436795	13738.6610886757
Bacteroidetes	35358.5331133773	41305.6874439815	149387.387523504	31765.7293566483	31159.159415047	5744.2891443424	10368.2321704911	5426.72289733759	213013.227235083	163501.777687231	28923.5242160262	201669.54097661	5056.78993917513	7918.21801358398	7130.71172800015	8645.56373015604	33079.3002045109	6752.47715042147	85825.9154898617	151911.162998618
Clostridium cluster I	1137.24251966432	1631.92686187066	1867.70488234512	1259.60459821399	1241.27320479919	1398.00491247701	1298.02295669804	5253.3894917114	1251.81073158681	1316.38930082704	1510.82850017745	940.35522734859	1132.95758102723	1188.99065952606	3100.58920385974	1653.65284009643	2557.25089987806	1330.31157941192	1010.56894094915	2356.65441381938
Clostridium cluster III	2730.93221957881	554.672321080785	1453.3241039658	1924.90202761614	2382.48138365586	279.411888760376	2315.20758427719	1026.04539581876	419.605940919424	1202.30670008135	650.578889696508	525.725752306723	4154.39306452667	229.350864062325	3376.04835769145	306.915656876975	912.241369365892	525.90536311328	383.038522883389	2590.59002846568
Clostridium cluster IV	248875.80623126	192961.054890337	441184.768963029	223679.339734	225100.476499367	17311.6345491184	394857.775675412	99197.8767114656	243829.090201565	224023.059538405	213471.170621608	274423.621939086	43553.3020192526	18916.4043917167	74185.6447235177	13961.7577856111	370336.768794186	92216.4702983222	37633.3810768873	382652.450030176
Clostridium cluster IX	4059.33340938206	2011.30636187297	10214.7910438402	2360.70265926105	9660.67223670309	1562.52847706547	13795.3905854324	1354.59460052231	26393.5732279338	7436.94745637464	3366.79134082392	8723.25063567176	1313.40974498468	11550.6504134333	2773.15001258329	2403.38749602428	3543.85499184845	2598.10753890245	2440.61141085787	7856.25958521821
Clostridium cluster XI	1887.35987790677	2235.30499091294	10058.14854176	5568.00950518643	2037.43521280801	1661.04793023047	6347.79383567645	10812.9019514253	1519.53619619521	3409.15852720284	4768.55311637638	1971.16112810555	1664.18924029718	1057.80546282059	2946.95770972296	1401.41033579229	6210.40600403419	4115.54660294204	1382.96301804507	6680.58066184454
Clostridium cluster XIII	188.106517684087	193.452991162213	280.921371791302	224.636757355202	233.563928314147	220.859412711813	221.271661434588	181.648031883326	234.489564022459	206.371316796887	229.597517520516	178.162193870448	187.196338509958	181.307021438581	224.928480264319	258.95776385739	365.596864793181	200.968841165299	195.771375047339	207.700581972952
Clostridium cluster XIVa	175456.855074307	80162.420790066	274089.529919284	299936.386634692	170361.589626674	170737.75122194	246059.755955149	193873.239404129	146384.645443453	299354.154019197	180325.214268241	220139.50409287	170485.852125392	12736.824854425	97479.8106100739	17272.9170295346	166785.264131646	113332.497910628	77807.0135344516	246564.72147728
Clostridium cluster XV	232.858497409535	182.811204040277	303.20901792855	306.044288604643	237.326809247059	209.238313470853	220.103461018189	187.080068288387	219.287828070535	234.973854898047	219.675070501349	185.72524882552	199.550025387948	168.084222086363	235.475527146959	238.773872460372	363.775964338726	169.565904230607	159.930628749937	269.379899991376
Clostridium cluster XVI	2052.81854430291	1186.04893100872	3920.89752289237	2277.31780027394	866.174151433067	1633.28040846264	811.422624644301	756.417623713564	1038.05250691444	1337.95238696595	3242.76149737603	1897.86801275481	537.249007959933	646.855307529788	711.23748044452	754.119475684008	2427.27269355728	760.982088259544	1116.66916632044	2326.63479038326
Clostridium cluster XVII	158.07937737431	154.442651478064	284.996392510247	187.931048543789	186.699539304088	288.15329066698	224.592982450178	153.30552354684	190.324332860166	198.907891870021	1314.86092560272	191.319836088301	173.089346240786	147.163848291223	181.231280425454	241.192882448161	288.374892091541	182.801687637634	149.895571748868	191.06789646043
Clostridium cluster XVIII	511.832331168789	436.701682705462	1930.2237064263	1770.42783220132	664.414972589045	5898.57205664541	2503.28268985173	1375.54450274641	550.964638465415	1603.88979942638	590.320514768549	1454.48128021033	822.404592798428	374.0063879607	5505.0424612676	575.866993805441	835.35116101465	869.375849274607	3247.179348235	670.928392732208
Cyanobacteria	45.4645376947263	44.167120665838	59.0509221309076	47.9422127020801	47.2870726985014	43.4013234222705	61.7932778768093	35.8157982350904	73.668749159457	40.8657410133281	44.6155724454739	36.8548353608624	38.6369611187812	35.8997435960532	45.7639958169816	51.9417591084332	67.0901573697625	40.1411177617665	39.503821390935	49.3649128391019
Fusobacteria	344.168902418753	337.856551737273	532.28349606365	407.785276260295	413.637681511676	399.749032236921	334.456651503821	328.226994533909	423.353584924476	391.492019612101	670.322226995914	328.059430549823	336.850787588582	320.990066742491	408.587759025501	429.98563368172	628.775869976802	347.537682548893	344.124354594733	392.339093347846
Proteobacteria	6865.98521486538	5964.05212138868	8931.65743618627	5676.43029766164	5304.06702741752	6457.90995966987	4939.08797314898	5226.14256719208	9077.40750325612	7284.87713287046	7374.69267219344	5047.09225684798	4148.60849733762	28745.8865613317	5294.01689039162	18704.3568084256	7980.46386910906	4517.35271156922	6663.75682779713	6856.07574927568
Spirochaetes	73.6321566351798	82.4639724531476	112.661088491234	86.0888167856831	91.2345755502869	88.3791449161781	71.5232258803391	70.5269166390049	94.719820782158	80.1255710323979	92.6380549489386	70.7313687659753	74.5480160869841	74.2175852780126	87.5490431934198	91.7494300275697	150.443756180738	80.5406206417281	76.157671860681	79.967874728466
Uncultured Clostridiales	25373.0719879657	139569.469239347	39332.9963668612	3388.2223672339	3570.22195218789	2497.4271331411	6770.10226180251	2083.00926520938	7102.65656345256	2812.000041848	2847.3552029083	2413.98539224011	2170.43004584531	2059.99362045551	2585.09078837513	3546.67036278866	43992.2863235222	7574.82815171042	2239.18706329716	35879.5814307423
Uncultured Mollicutes	856.004665102278	1506.76022514377	7670.59110914448	692.702098924883	660.92731112173	622.274152114946	560.991525601425	522.821721988827	706.918944334359	608.195159396598	666.799192641894	523.21151471547	532.167355967247	508.808826963073	628.945179814855	677.167400845615	12006.2195088049	860.236511755453	543.896814309287	4390.77003037502
Verrucomicrobia	3241.64898631831	16118.2526414875	3545.40457768986	2695.79855936736	1373.24404962199	3092.1400544594	6116.98476917904	5479.9534083552	2785.46574495141	2980.1059538586	1997.8419015029	2480.54240832953	723.33084952389	894.082744254444	681.389903560554	559.762031462377	1457.17800149248	850.124113865642	2778.85817367123	2479.55738028435
