"evenness"	"richness"	"diversity"
"Sample.1"	0.839046123101901	918	6.01587586771419
"Sample.2"	0.810739894076034	728	5.75936452810286
"Sample.3"	0.85349658142741	990	6.13728643981587
"Sample.4"	0.80880377585622	698	5.63006638760482
"Sample.5"	0.804770162759795	661	5.59598750340119
"Sample.6"	0.818618485682415	334	5.32788428995849
"Sample.7"	0.828834270972343	849	5.81993383442343
"Sample.8"	0.813447510065929	403	5.21496684971292
"Sample.9"	0.827701107735919	757	5.75403174217837
"Sample.10"	0.85652952898239	868	6.01197293131539
"Sample.11"	0.84061172939295	727	5.92423984049287
"Sample.12"	0.852296304462099	864	5.98017494112037
"Sample.13"	0.776055940729176	307	4.92336081081147
"Sample.14"	0.762121306552714	166	4.68350349000648
"Sample.15"	0.818048201679392	314	5.32965300142074
"Sample.16"	0.711330612392343	249	6.64434948926102
"Sample.17"	0.812135444880361	849	5.92982179142138
"Sample.18"	0.792626929117248	516	5.48986635888394
"Sample.19"	0.804225756552546	414	5.28372396308021
"Sample.20"	0.851672544379265	1112	6.20427213572866
